GMT,X,Y,Z,Temperature
2023-11-25 11:30,-2,0,-23,11
2023-11-25 11:30,-4,4,-25,11
2023-11-25 11:30,-6,6,-23,11
2023-11-25 11:30,-7,5,-22,11
2023-11-25 11:30,-5,4,-21,11
2023-11-25 11:31,-3,4,-21,11
2023-11-25 11:31,-4,3,-23,11
2023-11-25 11:31,-3,2,-23,11
2023-11-25 11:31,-2,5,-22,11
2023-11-25 11:31,-3,2,-23,11
2023-11-25 11:31,-2,3,-22,11
2023-11-25 11:31,-4,1,-22,11
2023-11-25 11:31,-2,4,-22,11
2023-11-25 11:31,-4,5,-22,11
2023-11-25 11:31,-6,5,-22,11
2023-11-25 11:31,-2,3,-23,11
2023-11-25 11:31,-3,2,-22,11
2023-11-25 11:31,-8,5,-21,11
2023-11-25 11:31,-7,5,-22,11
2023-11-25 11:31,-5,3,-21,11
2023-11-25 11:31,-2,1,-24,11
2023-11-25 11:31,-4,3,-24,11
2023-11-25 11:31,-4,3,-23,11
2023-11-25 11:31,-4,3,-23,11
2023-11-25 11:31,-5,4,-22,11
2023-11-25 11:31,-6,4,-21,11
2023-11-25 11:31,-4,3,-22,11
2023-11-25 11:31,-3,4,-21,11
2023-11-25 11:31,-6,3,-22,11
2023-11-25 11:31,-4,1,-23,11
2023-11-25 11:31,-2,0,-23,11
2023-11-25 11:31,-5,6,-21,11
2023-11-25 11:31,-5,4,-22,11
2023-11-25 11:31,-7,6,-21,11
2023-11-25 11:31,-7,4,-22,11
2023-11-25 11:32,-7,6,-23,11
2023-11-25 11:32,-5,4,-22,11
2023-11-25 11:32,-5,3,-23,11
2023-11-25 11:32,-4,8,-23,11
2023-11-25 11:32,-7,7,-19,11
2023-11-25 11:32,-6,5,-21,11
2023-11-25 11:32,-7,4,-22,11
2023-11-25 11:32,-2,4,-22,11
2023-11-25 11:32,-6,4,-22,11
2023-11-25 11:32,-8,3,-23,11
2023-11-25 11:32,-4,2,-22,11
2023-11-25 11:32,-4,4,-23,11
