Product Type: Litetrack LR
Product ID: 80378
Firmware Version: V8.99.0

Start Time [GMT],Stop Time [GMT],Proximity ID,Session Time [s],Average RSSI [dBm]
2020-07-14 8:12:50 PM,2020-07-14 8:12:56 PM,30380,6,48
2020-07-14 8:14:11 PM,2020-07-14 8:14:11 PM,30389,0,-78
2020-07-14 8:15:15 PM,2020-07-14 8:15:36 PM,30389,21,-38
2020-07-14 8:20:27 PM,2020-07-14 8:21:08 PM,30389,41,-32
2020-07-14 8:34:30 PM,2020-07-14 8:34:30 PM,30389,0,-79
2020-07-14 8:34:43 PM,2020-07-14 8:34:43 PM,30385,0,-81
2020-07-14 8:35:57 PM,2020-07-14 8:35:57 PM,30389,0,-82
2020-07-14 8:43:46 PM,2020-07-14 8:44:31 PM,30385,45,-50
2020-07-14 8:44:27 PM,2020-07-14 8:44:27 PM,30389,0,-83
2020-07-14 8:51:13 PM,2020-07-14 8:52:37 PM,30385,84,-54
2020-07-14 8:53:24 PM,2020-07-14 8:54:06 PM,30389,42,-66
2020-07-14 8:56:27 PM,2020-07-14 8:57:58 PM,30385,91,-31
2020-07-14 8:59:16 PM,2020-07-14 8:59:16 PM,30385,0,-79
2020-07-14 9:00:24 PM,2020-07-14 9:00:45 PM,30389,21,-17
2020-07-14 9:01:48 PM,2020-07-14 9:01:48 PM,30385,0,-83
2020-07-14 9:04:21 PM,2020-07-14 9:04:21 PM,30385,0,-84
2020-07-14 9:05:18 PM,2020-07-14 9:06:27 PM,30389,69,-58
2020-07-14 9:09:01 PM,2020-07-14 9:09:49 PM,30385,48,-41
2020-07-14 9:09:21 PM,2020-07-14 9:09:21 PM,30389,0,-80
2020-07-14 9:11:44 PM,2020-07-14 9:12:53 PM,30385,69,-31
2020-07-14 9:12:03 PM,2020-07-14 9:13:15 PM,30389,72,-54
2020-07-14 9:16:11 PM,2020-07-14 9:16:38 PM,30385,27,-44
2020-07-14 9:17:41 PM,2020-07-14 9:17:41 PM,30385,0,-83
2020-07-14 9:18:42 PM,2020-07-14 9:18:58 PM,30389,16,-9
2020-07-14 9:18:57 PM,2020-07-14 9:19:12 PM,30380,15,5
2020-07-14 9:20:08 PM,2020-07-14 9:20:11 PM,30385,3,54
2020-07-14 9:34:04 PM,2020-07-14 9:34:07 PM,30389,3,58
2020-07-14 9:34:07 PM,2020-07-14 9:34:07 PM,30385,0,-84
2020-07-14 9:36:20 PM,2020-07-14 9:36:23 PM,30389,3,50
2020-07-14 9:36:24 PM,2020-07-14 9:36:27 PM,30385,3,47
2020-07-14 9:42:49 PM,2020-07-14 9:43:43 PM,30385,54,-33
