Start,Stop,Proximity,Session,RSSI
2020-06-19 19:28,2020-06-19 19:28,30379,0,-85
2020-06-19 19:28,2020-06-19 19:28,30382,0,-83
2020-06-19 19:28,2020-06-19 19:28,30383,21,-36
2020-06-19 19:30,2020-06-19 19:30,30382,34,-57
2020-06-19 19:29,2020-06-19 19:31,30383,76,-54
2020-06-19 19:31,2020-06-19 19:31,30382,0,-84
2020-06-19 19:33,2020-06-19 19:33,30383,3,44
2020-06-19 19:33,2020-06-19 19:33,30382,0,-81
2020-06-19 19:34,2020-06-19 19:34,30383,12,-30
2020-06-19 19:34,2020-06-19 19:34,30382,0,-83
2020-06-19 19:35,2020-06-19 19:35,30383,0,-82
2020-06-19 19:35,2020-06-19 19:35,30381,3,45
2020-06-19 19:37,2020-06-19 19:37,30383,0,-83
2020-06-19 19:38,2020-06-19 19:38,30379,3,47
2020-06-19 19:41,2020-06-19 19:42,30379,6,45
2020-06-19 19:43,2020-06-19 19:45,30379,82,-42
2020-06-19 19:47,2020-06-19 19:49,30379,121,-68
2020-06-19 19:50,2020-06-19 19:51,30382,93,-64
2020-06-19 20:07,2020-06-19 20:09,30387,78,-65
2020-06-19 20:11,2020-06-19 20:13,30387,136,-66
2020-06-19 20:11,2020-06-19 20:13,30379,153,-66
2020-06-19 20:16,2020-06-19 20:16,30379,30,-39
2020-06-19 20:18,2020-06-19 20:18,30383,18,51
2020-06-19 20:51,2020-06-19 20:52,30381,51,-55
2020-06-19 20:51,2020-06-19 20:53,30383,139,-72
2020-06-19 21:37,2020-06-19 21:39,30382,108,-58
2020-06-19 23:15,2020-06-19 23:17,30382,141,-60
2020-06-19 23:24,2020-06-19 23:24,30379,0,-83
2020-06-19 23:25,2020-06-19 23:27,30382,130,-51
2020-06-19 23:26,2020-06-19 23:29,30379,201,-73
2020-06-19 23:31,2020-06-19 23:34,30379,222,-74
2020-06-19 23:29,2020-06-19 23:39,30382,562,-77
2020-06-19 23:36,2020-06-19 23:39,30379,221,-72
2020-06-19 23:41,2020-06-19 23:41,30382,0,-82
2020-06-19 23:41,2020-06-19 23:42,30379,6,1
2020-06-19 23:43,2020-06-19 23:45,30382,116,-40
2020-06-19 23:54,2020-06-19 23:54,30379,12,-31
2020-06-20 0:10,2020-06-20 0:10,30382,0,-81
2020-06-20 0:11,2020-06-20 0:13,30382,111,-53
2020-06-20 1:26,2020-06-20 1:26,30381,3,47
2020-06-20 1:51,2020-06-20 1:51,30383,0,-84
2020-06-20 1:56,2020-06-20 1:56,30383,0,-84
2020-06-20 1:41,2020-06-20 1:57,30382,936,-78
2020-06-20 1:59,2020-06-20 1:59,30383,30,45
2020-06-20 2:00,2020-06-20 2:02,30382,73,-64
2020-06-20 2:02,2020-06-20 2:02,30383,0,-84
2020-06-20 2:03,2020-06-20 2:03,30383,3,45
2020-06-20 2:04,2020-06-20 2:06,30383,96,-19
