Start,Stop,Proximity ID,Session,RSSI
2020-06-19 2:12,2020-06-19 2:12,30389,18,-39
2020-06-19 2:12,2020-06-19 2:14,30385,86,-66
2020-06-19 2:14,2020-06-19 2:14,30388,3,45
2020-06-19 2:13,2020-06-19 2:14,30387,75,-62
2020-06-19 2:15,2020-06-19 2:16,30386,42,-33
2020-06-19 2:14,2020-06-19 2:18,30390,230,-73
2020-06-19 2:16,2020-06-19 2:18,30387,131,-69
2020-06-19 2:16,2020-06-19 2:17,30388,52,-40
2020-06-19 2:17,2020-06-19 2:18,30385,58,-60
2020-06-19 2:19,2020-06-19 2:19,30385,0,-86
2020-06-19 2:19,2020-06-19 2:21,30387,122,-55
2020-06-19 2:21,2020-06-19 2:21,30385,24,-16
2020-06-19 2:22,2020-06-19 2:22,30388,0,-79
2020-06-19 2:22,2020-06-19 2:23,30389,64,-35
2020-06-19 2:23,2020-06-19 2:23,30385,18,-36
2020-06-19 2:22,2020-06-19 2:26,30390,234,-73
2020-06-19 2:24,2020-06-19 2:25,30388,50,5
2020-06-19 2:27,2020-06-19 2:28,30390,58,44
2020-06-19 2:31,2020-06-19 2:34,30388,201,-67
2020-06-19 2:36,2020-06-19 2:36,30388,3,44
2020-06-19 2:36,2020-06-19 2:36,30386,3,44
2020-06-19 2:38,2020-06-19 2:39,30386,81,-65
2020-06-19 2:42,2020-06-19 2:42,30388,10,-19
2020-06-19 2:42,2020-06-19 2:42,30390,15,-29
2020-06-19 2:42,2020-06-19 2:42,30385,24,-30
2020-06-19 2:42,2020-06-19 2:43,30386,115,-62
2020-06-19 2:43,2020-06-19 2:43,30383,3,43
2020-06-19 2:45,2020-06-19 2:46,30390,48,-61
2020-06-19 2:46,2020-06-19 2:46,30385,0,-83
2020-06-19 2:46,2020-06-19 2:47,30383,37,-55
2020-06-19 2:47,2020-06-19 2:48,30388,13,-16
2020-06-19 2:47,2020-06-19 2:47,30390,0,-84
2020-06-19 2:47,2020-06-19 2:48,30379,36,3
2020-06-19 2:48,2020-06-19 2:48,30386,12,-18
2020-06-19 2:48,2020-06-19 2:49,30383,43,-18
2020-06-19 2:49,2020-06-19 2:50,30390,46,6
2020-06-19 2:50,2020-06-19 2:50,30379,7,4
2020-06-19 2:53,2020-06-19 2:53,30385,3,52
2020-06-19 2:52,2020-06-19 2:53,30386,66,-44
2020-06-19 2:52,2020-06-19 2:55,30387,160,-64
2020-06-19 2:52,2020-06-19 2:54,30388,129,-44
2020-06-19 2:54,2020-06-19 2:54,30390,36,-32
2020-06-19 2:56,2020-06-19 2:57,30384,21,-27
2020-06-19 2:56,2020-06-19 2:57,30387,45,-52
2020-06-19 2:56,2020-06-19 2:58,30382,118,-58
2020-06-19 2:57,2020-06-19 2:59,30379,76,-67
2020-06-19 2:57,2020-06-19 2:59,30386,91,-58
2020-06-19 3:00,2020-06-19 3:00,30387,6,9
2020-06-19 2:59,2020-06-19 3:00,30382,43,-31
2020-06-19 3:01,2020-06-19 3:02,30387,53,-51
2020-06-19 3:02,2020-06-19 3:02,30386,3,44
2020-06-19 3:04,2020-06-19 3:04,30386,0,-82
2020-06-19 3:04,2020-06-19 3:06,30382,93,-62
2020-06-19 3:05,2020-06-19 3:07,30389,130,-69
2020-06-19 3:07,2020-06-19 3:08,30382,56,-49
2020-06-19 3:07,2020-06-19 3:08,30385,68,-46
2020-06-19 3:08,2020-06-19 3:10,30379,137,-69
2020-06-19 3:11,2020-06-19 3:11,30388,0,-81
2020-06-19 3:11,2020-06-19 3:11,30387,0,-83
2020-06-19 3:11,2020-06-19 3:11,30386,13,-15
2020-06-19 3:11,2020-06-19 3:13,30390,117,-60
2020-06-19 3:13,2020-06-19 3:13,30387,15,-18
2020-06-19 3:13,2020-06-19 3:13,30389,0,-85
2020-06-19 3:14,2020-06-19 3:14,30386,6,10
2020-06-19 3:14,2020-06-19 3:14,30388,18,50
2020-06-19 3:14,2020-06-19 3:14,30390,0,-81
2020-06-19 3:14,2020-06-19 3:14,30389,19,-17
2020-06-19 3:14,2020-06-19 3:14,30387,0,-75
2020-06-19 3:19,2020-06-19 3:19,30386,52,-50
2020-06-19 3:21,2020-06-19 3:21,30386,0,-82
2020-06-19 3:21,2020-06-19 3:21,30387,0,-79
2020-06-19 3:22,2020-06-19 3:22,30390,12,-20
2020-06-19 3:22,2020-06-19 3:22,30389,0,-74
2020-06-19 3:21,2020-06-19 3:23,30388,86,-45
2020-06-19 3:22,2020-06-19 3:23,30386,61,-52
2020-06-19 3:24,2020-06-19 3:24,30386,9,45
2020-06-19 3:25,2020-06-19 3:25,30390,0,-84
2020-06-19 3:18,2020-06-19 3:25,30379,421,-74
2020-06-19 3:24,2020-06-19 3:25,30388,35,-47
2020-06-19 3:26,2020-06-19 3:26,30386,4,47
2020-06-19 3:28,2020-06-19 3:29,30390,75,-55
2020-06-19 3:30,2020-06-19 3:30,30388,6,44
2020-06-19 3:32,2020-06-19 3:33,30386,83,-56
2020-06-19 3:38,2020-06-19 3:38,30385,0,-83
2020-06-19 3:38,2020-06-19 3:39,30387,70,-40
2020-06-19 3:39,2020-06-19 3:39,30388,29,-49
2020-06-19 3:39,2020-06-19 3:39,30390,0,-83
2020-06-19 3:41,2020-06-19 3:42,30387,21,45
2020-06-19 3:41,2020-06-19 3:42,30389,69,-63
2020-06-19 3:39,2020-06-19 3:43,30386,213,-67
2020-06-19 3:43,2020-06-19 3:45,30389,77,-52
2020-06-19 3:44,2020-06-19 3:44,30387,18,-36
2020-06-19 3:47,2020-06-19 3:47,30389,0,-82
2020-06-19 3:47,2020-06-19 3:47,30386,0,-82
2020-06-19 3:46,2020-06-19 3:49,30387,203,-66
2020-06-19 3:51,2020-06-19 3:52,30387,75,-19
2020-06-19 3:54,2020-06-19 3:54,30387,0,-84
2020-06-19 3:55,2020-06-19 3:55,30388,9,50
2020-06-19 3:48,2020-06-19 3:56,30389,457,-75
2020-06-19 3:55,2020-06-19 3:55,30390,15,-19
2020-06-19 3:57,2020-06-19 3:58,30388,57,-19
2020-06-19 3:58,2020-06-19 3:58,30390,18,48
2020-06-19 3:57,2020-06-19 3:58,30387,76,-60
2020-06-19 3:50,2020-06-19 3:59,30386,531,-76
2020-06-19 3:57,2020-06-19 3:59,30385,157,-59
2020-06-19 3:58,2020-06-19 3:59,30389,106,-66
2020-06-19 4:01,2020-06-19 4:02,30387,49,-61
