"Date","Percent Expected Recordings","95 Percentile Activities","99 Percentile Activities","99.99 Percentile High Activities"
"2020-08-26",0.87224537037037,0.105782755234734,0.0268570367028476,0.000212308590536345
"2020-08-27",0.773680555555556,0.115220058043862,0.0295305627861054,0.000239356132004907
"2020-08-28",0.542916666666667,0.0834399249594952,0.0217020550865524,0.000596913106506353
"2020-08-29",0,0,0,0
"2020-08-30",0.20412037037037,0.0497845316398276,0.00623724200498979,0.000226808800181447
"2020-08-31",0.796782407407407,0.0363440922692542,0.00551988611603382,0.000203364225327562
"2020-09-01",0.656226851851852,0.0254329958728703,0.0031041659317789,0.000105823838583372
"2020-09-02",0.865462962962963,0.0254092222103349,0.00288862736706965,0.000320958596341072
"2020-09-03",0,0,0,0
"2020-09-04",0.371875,0.0495487083722378,0.00672268907563025,6.22471210706505e-05
